iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-ene-2018"
Total Net Assets,"21,002,134,353.88"
,"128,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"ITW","ILLINOIS TOOL INC","Equity","0.43","173.67","518,319.00","90,016,460.73","90,016,460.73","Industriales","2457552","US4523081093","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.42","164.38","541,023.00","88,933,360.74","88,933,360.74","Cuidado de la Salud","2853688","US8636671013","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.41","56.81","1,530,707.00","86,959,464.67","86,959,464.67","Consumo discrecional","2842255","US8552441094","NASDAQ"
"CI","CIGNA CORP","Equity","0.41","208.35","414,548.00","86,371,075.80","86,371,075.80","Cuidado de la Salud","2196479","US1255091092","New York Stock Exchange Inc."
"BIIB","BIOGEN INC INC","Equity","0.40","347.81","245,238.00","85,296,228.78","85,296,228.78","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
"CSX","CSX CORP","Equity","0.40","56.77","1,502,061.00","85,272,002.97","85,272,002.97","Industriales","2160753","US1264081035","NASDAQ"
"MU","MICRON TECHNOLOGY INC","Equity","0.40","43.72","1,939,077.00","84,776,446.44","84,776,446.44","Tecnología de la Información","2588184","US5951121038","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.40","162.78","520,045.00","84,652,925.10","84,652,925.10","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.40","85.89","978,647.00","84,055,990.83","84,055,990.83","Cuidado de la Salud","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.39","431.67","188,353.00","81,306,339.51","81,306,339.51","Cuidado de la Salud","2871301","US46120E6023","NASDAQ"
"LLY","ELI LILLY","Equity","0.38","81.45","993,492.00","80,919,923.40","80,919,923.40","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.37","181.10","428,655.00","77,629,420.50","77,629,420.50","Financieros","BYV2325","US78409V1044","New York Stock Exchange Inc."
